node_id,node_name,parent_node_id,dependency,wave,fail_hour,system_group,node_type,gmina_name,population_served
IK-01-00026,stacja NN 400/220 kV dolnośląskie-miejski-23-07-00026,,seed,0,0.0,energy,stacja NN 400/220 kV,gmina dolnośląskie-miejski-23-07,786829
IK-01-00099,GPZ 110/SN dolnośląskie-wschodni-02-05-00099,IK-01-00026,electricity,1,0.0,energy,GPZ 110/SN,gmina dolnośląskie-wschodni-02-05,94136
IK-01-00156,GPZ 110/SN dolnośląskie-zachodni-15-05-00156,IK-01-00026,electricity,1,0.0,energy,GPZ 110/SN,gmina dolnośląskie-zachodni-15-05,39271
IK-01-00192,GPZ 110/SN dolnośląskie-wschodni-26-06-00192,IK-01-00026,electricity,1,0.0,energy,GPZ 110/SN,gmina dolnośląskie-wschodni-26-06,32807
IK-01-00202,GPZ 110/SN dolnośląskie-zachodni-27-02-00202,IK-01-00026,electricity,1,0.0,energy,GPZ 110/SN,gmina dolnośląskie-zachodni-27-02,81890
IK-01-00217,GPZ 110/SN dolnośląskie-wschodni-26-05-00217,IK-01-00026,electricity,1,0.0,energy,GPZ 110/SN,gmina dolnośląskie-wschodni-26-05,50263
IK-01-00225,GPZ 110/SN dolnośląskie-południowy-07-01-00225,IK-01-00026,electricity,1,0.0,energy,GPZ 110/SN,gmina dolnośląskie-południowy-07-01,62303
IK-01-00230,GPZ 110/SN dolnośląskie-wschodni-02-06-00230,IK-01-00026,electricity,1,0.0,energy,GPZ 110/SN,gmina dolnośląskie-wschodni-02-06,63563
IK-01-00235,GPZ 110/SN dolnośląskie-miejski-29-06-00235,IK-01-00026,electricity,1,0.0,energy,GPZ 110/SN,gmina dolnośląskie-miejski-29-06,118111
IK-01-00360,magazyn/terminal paliw dolnośląskie-południowy-07-02-00360,IK-01-00192,electricity,2,0.0,energy,magazyn/terminal paliw,gmina dolnośląskie-południowy-07-02,1087642
IK-08-01703,most/przeprawa krytyczna dolnośląskie-wschodni-20-01-01703,IK-01-00202,electricity,2,0.0,transport,most/przeprawa krytyczna,gmina dolnośląskie-wschodni-20-01,23073
IK-02-00455,węzeł szkieletowy telekom dolnośląskie-miejski-05-01-00455,IK-01-00217,electricity,2,0.0,telecom,węzeł szkieletowy telekom,gmina dolnośląskie-miejski-05-01,240854
IK-02-00476,węzeł szkieletowy telekom dolnośląskie-centralny-04-06-00476,IK-01-00217,electricity,2,0.0,telecom,węzeł szkieletowy telekom,gmina dolnośląskie-centralny-04-06,1252150
IK-05-01016,zakład przetwórstwa spożywczego dolnośląskie-centralny-28-04-01016,IK-01-00217,electricity,2,0.0,food,zakład przetwórstwa spożywczego,gmina dolnośląskie-centralny-28-04,322260
IK-06-01355,oczyszczalnia ścieków dolnośląskie-miejski-05-01-01355,IK-01-00217,electricity,2,0.0,water,oczyszczalnia ścieków,gmina dolnośląskie-miejski-05-01,103081
IK-10-01986,centrum zarządzania kryzysowego dolnośląskie-północny-30-06-01986,IK-01-00235,electricity,2,0.0,admin,centrum zarządzania kryzysowego,gmina dolnośląskie-północny-30-06,216996
IK-04-00892,hurtownia wartości/gotówki dolnośląskie-centralny-28-04-00892,IK-02-00455,telecom,3,0.21,finance,hurtownia wartości/gotówki,gmina dolnośląskie-centralny-28-04,451481
IK-04-00843,centrum rozliczeniowe dolnośląskie-wschodni-20-02-00843,IK-02-00476,telecom,3,0.42,finance,centrum rozliczeniowe,gmina dolnośląskie-wschodni-20-02,1841060
IK-03-00793,system rejestrów państwowych dolnośląskie-wschodni-26-05-00793,IK-02-00476,telecom,3,0.51,ict,system rejestrów państwowych,gmina dolnośląskie-wschodni-26-05,391671
IK-03-00763,węzeł sieci rządowej dolnośląskie-wschodni-26-05-00763,IK-02-00476,telecom,3,0.54,ict,węzeł sieci rządowej,gmina dolnośląskie-wschodni-26-05,294527
IK-04-00837,centrum rozliczeniowe dolnośląskie-miejski-23-05-00837,IK-02-00476,telecom,3,0.55,finance,centrum rozliczeniowe,gmina dolnośląskie-miejski-23-05,1245366
IK-03-00807,system rejestrów państwowych dolnośląskie-zachodni-15-04-00807,IK-02-00455,telecom,3,0.65,ict,system rejestrów państwowych,gmina dolnośląskie-zachodni-15-04,1548800
IK-09-01828,jednostka ratowniczo-gaśnicza PSP dolnośląskie-centralny-22-04-01828,IK-02-00476,telecom,3,0.67,rescue,jednostka ratowniczo-gaśnicza PSP,gmina dolnośląskie-centralny-22-04,52810
IK-06-01131,ujęcie wody dolnośląskie-zachodni-21-05-01131,IK-01-00230,electricity,2,0.9,water,ujęcie wody,gmina dolnośląskie-zachodni-21-05,31547
IK-10-01981,centrum zarządzania kryzysowego dolnośląskie-zachodni-15-04-01981,IK-02-00455,telecom,3,0.91,admin,centrum zarządzania kryzysowego,gmina dolnośląskie-zachodni-15-04,882029
IK-01-00342,magazyn/terminal paliw dolnośląskie-miejski-23-06-00342,IK-01-00099,electricity,2,1.0,energy,magazyn/terminal paliw,gmina dolnośląskie-miejski-23-06,235806
IK-02-00594,węzeł agregacyjny/RAN hub dolnośląskie-wschodni-26-05-00594,IK-03-00763,ict,4,1.04,telecom,węzeł agregacyjny/RAN hub,gmina dolnośląskie-wschodni-26-05,116114
IK-01-00329,tłocznia gazu dolnośląskie-miejski-29-04-00329,IK-01-00235,electricity,2,1.1,energy,tłocznia gazu,gmina dolnośląskie-miejski-29-04,118136
IK-06-01116,ujęcie wody dolnośląskie-wschodni-26-02-01116,IK-01-00156,electricity,2,1.2,water,ujęcie wody,gmina dolnośląskie-wschodni-26-02,43463
IK-01-00389,stacja redukcyjna gazu dolnośląskie-wschodni-02-03-00389,IK-01-00156,electricity,2,1.3,energy,stacja redukcyjna gazu,gmina dolnośląskie-wschodni-02-03,34684
IK-10-01939,centrum zarządzania kryzysowego dolnośląskie-zachodni-15-02-01939,IK-03-00807,ict,4,1.37,admin,centrum zarządzania kryzysowego,gmina dolnośląskie-zachodni-15-02,489465
IK-01-00399,stacja redukcyjna gazu dolnośląskie-centralny-22-06-00399,IK-01-00202,electricity,2,1.4,energy,stacja redukcyjna gazu,gmina dolnośląskie-centralny-22-06,144633
IK-01-00349,magazyn/terminal paliw dolnośląskie-południowy-07-07-00349,IK-01-00230,electricity,2,1.4,energy,magazyn/terminal paliw,gmina dolnośląskie-południowy-07-07,141007
