node_id,node_name,system_code,system_group,node_type,voivodeship_code,powiat_code,gmina_code,criticality_class,population_served,fail_hour,wave,cause_node_id,cause_dependency,gmina_name,cause_node_name,fail_time
IK-01-00042,GPZ 110/SN dolnośląskie-północny-18-04-00042,IK01,energy,GPZ 110/SN,02,0218,0218004,K2,85867,0.0,0,,seed,gmina dolnośląskie-północny-18-04,,2026-09-12T06:00+0200
IK-01-00111,GPZ 110/SN dolnośląskie-zachodni-21-02-00111,IK01,energy,GPZ 110/SN,02,0221,0221002,K1,53004,0.0,0,,seed,gmina dolnośląskie-zachodni-21-02,,2026-09-12T06:00+0200
IK-01-00250,elektrownia systemowa dolnośląskie-zachodni-09-05-00250,IK01,energy,elektrownia systemowa,02,0209,0209005,K1,993739,0.0,0,,seed,gmina dolnośląskie-zachodni-09-05,,2026-09-12T06:00+0200
IK-01-00352,magazyn/terminal paliw dolnośląskie-zachodni-27-03-00352,IK01,energy,magazyn/terminal paliw,02,0227,0227003,K2,415999,0.0,0,,seed,gmina dolnośląskie-zachodni-27-03,,2026-09-12T06:00+0200
IK-01-00385,stacja redukcyjna gazu dolnośląskie-północny-18-07-00385,IK01,energy,stacja redukcyjna gazu,02,0218,0218007,K3,49789,0.0,0,,seed,gmina dolnośląskie-północny-18-07,,2026-09-12T06:00+0200
IK-02-00438,węzeł szkieletowy telekom dolnośląskie-północny-06-01-00438,IK02,telecom,węzeł szkieletowy telekom,02,0206,0206001,K1,592036,0.0,0,,seed,gmina dolnośląskie-północny-06-01,,2026-09-12T06:00+0200
IK-02-00445,węzeł szkieletowy telekom dolnośląskie-wschodni-26-02-00445,IK02,telecom,węzeł szkieletowy telekom,02,0226,0226002,K2,275013,0.0,0,,seed,gmina dolnośląskie-wschodni-26-02,,2026-09-12T06:00+0200
IK-02-00455,węzeł szkieletowy telekom dolnośląskie-miejski-05-01-00455,IK02,telecom,węzeł szkieletowy telekom,02,0205,0205001,K1,240854,0.0,0,,seed,gmina dolnośląskie-miejski-05-01,,2026-09-12T06:00+0200
IK-02-00600,węzeł agregacyjny/RAN hub dolnośląskie-północny-18-03-00600,IK02,telecom,węzeł agregacyjny/RAN hub,02,0218,0218003,K3,80574,0.0,0,,seed,gmina dolnośląskie-północny-18-03,,2026-09-12T06:00+0200
IK-02-00606,węzeł agregacyjny/RAN hub dolnośląskie-zachodni-21-02-00606,IK02,telecom,węzeł agregacyjny/RAN hub,02,0221,0221002,K3,36446,0.0,0,,seed,gmina dolnośląskie-zachodni-21-02,,2026-09-12T06:00+0200
IK-03-00735,węzeł sieci rządowej dolnośląskie-zachodni-27-01-00735,IK03,ict,węzeł sieci rządowej,02,0227,0227001,K1,312668,0.0,0,,seed,gmina dolnośląskie-zachodni-27-01,,2026-09-12T06:00+0200
IK-03-00796,system rejestrów państwowych dolnośląskie-zachodni-21-07-00796,IK03,ict,system rejestrów państwowych,02,0221,0221007,K2,778164,0.0,0,,seed,gmina dolnośląskie-zachodni-21-07,,2026-09-12T06:00+0200
IK-03-00824,system rejestrów państwowych dolnośląskie-południowy-13-04-00824,IK03,ict,system rejestrów państwowych,02,0213,0213004,K2,1116256,0.0,0,,seed,gmina dolnośląskie-południowy-13-04,,2026-09-12T06:00+0200
IK-04-00844,centrum rozliczeniowe dolnośląskie-wschodni-02-01-00844,IK04,finance,centrum rozliczeniowe,02,0202,0202001,K3,1006395,0.0,0,,seed,gmina dolnośląskie-wschodni-02-01,,2026-09-12T06:00+0200
IK-04-00853,centrum przetwarzania banku dolnośląskie-północny-24-03-00853,IK04,finance,centrum przetwarzania banku,02,0224,0224003,K3,683438,0.0,0,,seed,gmina dolnośląskie-północny-24-03,,2026-09-12T06:00+0200
IK-04-00909,hurtownia wartości/gotówki dolnośląskie-północny-12-07-00909,IK04,finance,hurtownia wartości/gotówki,02,0212,0212007,K3,291714,0.0,0,,seed,gmina dolnośląskie-północny-12-07,,2026-09-12T06:00+0200
IK-05-00925,magazyn rezerw strategicznych dolnośląskie-wschodni-14-01-00925,IK05,food,magazyn rezerw strategicznych,02,0214,0214001,K2,229928,0.0,0,,seed,gmina dolnośląskie-wschodni-14-01,,2026-09-12T06:00+0200
IK-05-00966,chłodnia składowa dolnośląskie-wschodni-20-04-00966,IK05,food,chłodnia składowa,02,0220,0220004,K3,215861,0.0,0,,seed,gmina dolnośląskie-wschodni-20-04,,2026-09-12T06:00+0200
IK-05-00967,chłodnia składowa dolnośląskie-południowy-07-07-00967,IK05,food,chłodnia składowa,02,0207,0207007,K3,189768,0.0,0,,seed,gmina dolnośląskie-południowy-07-07,,2026-09-12T06:00+0200
IK-05-01020,zakład przetwórstwa spożywczego dolnośląskie-północny-06-03-01020,IK05,food,zakład przetwórstwa spożywczego,02,0206,0206003,K3,199624,0.0,0,,seed,gmina dolnośląskie-północny-06-03,,2026-09-12T06:00+0200
IK-05-01044,zakład przetwórstwa spożywczego dolnośląskie-południowy-13-04-01044,IK05,food,zakład przetwórstwa spożywczego,02,0213,0213004,K3,56092,0.0,0,,seed,gmina dolnośląskie-południowy-13-04,,2026-09-12T06:00+0200
IK-06-01137,ujęcie wody dolnośląskie-miejski-23-06-01137,IK06,water,ujęcie wody,02,0223,0223006,K2,18812,0.0,0,,seed,gmina dolnośląskie-miejski-23-06,,2026-09-12T06:00+0200
IK-06-01187,stacja uzdatniania wody dolnośląskie-miejski-23-07-01187,IK06,water,stacja uzdatniania wody,02,0223,0223007,K2,80893,0.0,0,,seed,gmina dolnośląskie-miejski-23-07,,2026-09-12T06:00+0200
IK-06-01192,stacja uzdatniania wody dolnośląskie-zachodni-03-03-01192,IK06,water,stacja uzdatniania wody,02,0203,0203003,K1,54826,0.0,0,,seed,gmina dolnośląskie-zachodni-03-03,,2026-09-12T06:00+0200
IK-06-01233,stacja uzdatniania wody dolnośląskie-południowy-07-04-01233,IK06,water,stacja uzdatniania wody,02,0207,0207004,K3,38028,0.0,0,,seed,gmina dolnośląskie-południowy-07-04,,2026-09-12T06:00+0200
IK-06-01248,przepompownia wody dolnośląskie-miejski-23-01-01248,IK06,water,przepompownia wody,02,0223,0223001,K3,34403,0.0,0,,seed,gmina dolnośląskie-miejski-23-01,,2026-09-12T06:00+0200
IK-06-01250,przepompownia wody dolnośląskie-północny-12-07-01250,IK06,water,przepompownia wody,02,0212,0212007,K3,36993,0.0,0,,seed,gmina dolnośląskie-północny-12-07,,2026-09-12T06:00+0200
IK-06-01284,przepompownia wody dolnośląskie-południowy-07-07-01284,IK06,water,przepompownia wody,02,0207,0207007,K3,29199,0.0,0,,seed,gmina dolnośląskie-południowy-07-07,,2026-09-12T06:00+0200
IK-06-01299,przepompownia wody dolnośląskie-centralny-16-01-01299,IK06,water,przepompownia wody,02,0216,0216001,K3,19505,0.0,0,,seed,gmina dolnośląskie-centralny-16-01,,2026-09-12T06:00+0200
IK-06-01346,oczyszczalnia ścieków dolnośląskie-zachodni-03-04-01346,IK06,water,oczyszczalnia ścieków,02,0203,0203004,K3,23748,0.0,0,,seed,gmina dolnośląskie-zachodni-03-04,,2026-09-12T06:00+0200
IK-07-01399,szpital wielospecjalistyczny dolnośląskie-północny-06-01-01399,IK07,health,szpital wielospecjalistyczny,02,0206,0206001,K1,132474,0.0,0,,seed,gmina dolnośląskie-północny-06-01,,2026-09-12T06:00+0200
IK-07-01401,szpital wielospecjalistyczny dolnośląskie-centralny-22-05-01401,IK07,health,szpital wielospecjalistyczny,02,0222,0222005,K1,440628,0.0,0,,seed,gmina dolnośląskie-centralny-22-05,,2026-09-12T06:00+0200
IK-07-01415,szpital wielospecjalistyczny dolnośląskie-wschodni-26-05-01415,IK07,health,szpital wielospecjalistyczny,02,0226,0226005,K1,99465,0.0,0,,seed,gmina dolnośląskie-wschodni-26-05,,2026-09-12T06:00+0200
IK-07-01460,szpital powiatowy dolnośląskie-północny-18-06-01460,IK07,health,szpital powiatowy,02,0218,0218006,K2,29333,0.0,0,,seed,gmina dolnośląskie-północny-18-06,,2026-09-12T06:00+0200
IK-07-01510,szpital powiatowy dolnośląskie-południowy-13-02-01510,IK07,health,szpital powiatowy,02,0213,0213002,K2,48595,0.0,0,,seed,gmina dolnośląskie-południowy-13-02,,2026-09-12T06:00+0200
IK-07-01520,szpital powiatowy dolnośląskie-zachodni-03-04-01520,IK07,health,szpital powiatowy,02,0203,0203004,K2,47843,0.0,0,,seed,gmina dolnośląskie-zachodni-03-04,,2026-09-12T06:00+0200
IK-07-01580,bank krwi / magazyn farmaceutyczny dolnośląskie-zachodni-21-02-01580,IK07,health,bank krwi / magazyn farmaceutyczny,02,0221,0221002,K1,861429,0.0,0,,seed,gmina dolnośląskie-zachodni-21-02,,2026-09-12T06:00+0200
IK-08-01617,węzeł kolejowy dolnośląskie-północny-06-05-01617,IK08,transport,węzeł kolejowy,02,0206,0206005,K2,207246,0.0,0,,seed,gmina dolnośląskie-północny-06-05,,2026-09-12T06:00+0200
IK-08-01694,most/przeprawa krytyczna dolnośląskie-południowy-19-01-01694,IK08,transport,most/przeprawa krytyczna,02,0219,0219001,K3,94846,0.0,0,,seed,gmina dolnośląskie-południowy-19-01,,2026-09-12T06:00+0200
IK-08-01701,most/przeprawa krytyczna dolnośląskie-południowy-25-05-01701,IK08,transport,most/przeprawa krytyczna,02,0225,0225005,K2,72010,0.0,0,,seed,gmina dolnośląskie-południowy-25-05,,2026-09-12T06:00+0200
IK-08-01713,most/przeprawa krytyczna dolnośląskie-zachodni-15-05-01713,IK08,transport,most/przeprawa krytyczna,02,0215,0215005,K3,109265,0.0,0,,seed,gmina dolnośląskie-zachodni-15-05,,2026-09-12T06:00+0200
IK-08-01721,most/przeprawa krytyczna dolnośląskie-zachodni-27-07-01721,IK08,transport,most/przeprawa krytyczna,02,0227,0227007,K2,122937,0.0,0,,seed,gmina dolnośląskie-zachodni-27-07,,2026-09-12T06:00+0200
IK-08-01726,most/przeprawa krytyczna dolnośląskie-centralny-04-04-01726,IK08,transport,most/przeprawa krytyczna,02,0204,0204004,K2,90766,0.0,0,,seed,gmina dolnośląskie-centralny-04-04,,2026-09-12T06:00+0200
IK-08-01797,centrum sterowania ruchem dolnośląskie-północny-06-04-01797,IK08,transport,centrum sterowania ruchem,02,0206,0206004,K2,239586,0.0,0,,seed,gmina dolnośląskie-północny-06-04,,2026-09-12T06:00+0200
IK-08-01805,centrum sterowania ruchem dolnośląskie-wschodni-02-01-01805,IK08,transport,centrum sterowania ruchem,02,0202,0202001,K3,105022,0.0,0,,seed,gmina dolnośląskie-wschodni-02-01,,2026-09-12T06:00+0200
IK-09-01843,jednostka ratowniczo-gaśnicza PSP dolnośląskie-północny-06-07-01843,IK09,rescue,jednostka ratowniczo-gaśnicza PSP,02,0206,0206007,K2,129530,0.0,0,,seed,gmina dolnośląskie-północny-06-07,,2026-09-12T06:00+0200
