gmina_code,energy,health,telecom,water,gmina_name,population
3211002,,65.0,,,gmina zachodniopomorskie-miejski-11-02,95330
0226002,,3.45,0.0,26.2,gmina dolnośląskie-wschodni-26-02,93169
0204006,,,1.0,,gmina dolnośląskie-centralny-04-06,84051
0223007,76.5,,,0.0,gmina dolnośląskie-miejski-23-07,59380
0217002,,,8.0,,gmina dolnośląskie-miejski-17-02,58105
1602001,,18.41,,,gmina opolskie-wschodni-02-01,51836
0202006,4.0,,,,gmina dolnośląskie-wschodni-02-06,49877
0230001,,,81.7,,gmina dolnośląskie-północny-30-01,48773
1605006,92.4,,,,gmina opolskie-miejski-05-06,44064
3218001,,,53.0,63.3,gmina zachodniopomorskie-północny-18-01,42970
1604007,,,30.85,,gmina opolskie-centralny-04-07,42634
0214004,1.0,,,,gmina dolnośląskie-wschodni-14-04,41485
2433002,,,53.0,,gmina śląskie-zachodni-33-02,40559
0225002,,,3.4,,gmina dolnośląskie-południowy-25-02,40558
0201002,,22.12,13.0,,gmina dolnośląskie-południowy-01-02,39929
1609007,41.6,,,,gmina opolskie-zachodni-09-07,38434
1605001,20.5,,21.0,,gmina opolskie-miejski-05-01,38009
3213002,55.0,,,,gmina zachodniopomorskie-południowy-13-02,37633
0207005,,,,78.6,gmina dolnośląskie-południowy-07-05,36203
0223001,,,,0.0,gmina dolnośląskie-miejski-23-01,34710
0228007,16.0,,,,gmina dolnośląskie-centralny-28-07,33931
0220007,,,81.4,,gmina dolnośląskie-wschodni-20-07,29500
0210005,1.0,,,,gmina dolnośląskie-centralny-10-05,29179
0213006,16.0,,,,gmina dolnośląskie-południowy-13-06,27511
0221006,1.0,,,,gmina dolnośląskie-zachodni-21-06,27323
0229003,59.5,,,,gmina dolnośląskie-miejski-29-03,26530
0208007,16.0,,,5.5,gmina dolnośląskie-wschodni-08-07,26028
0219001,,,12.0,,gmina dolnośląskie-południowy-19-01,25462
1606001,9.0,10.12,,19.0,gmina opolskie-północny-06-01,25348
0227004,79.8,,,,gmina dolnośląskie-zachodni-27-04,25297
1611005,20.0,20.0,,,gmina opolskie-miejski-11-05,25099
0218004,0.0,,,,gmina dolnośląskie-północny-18-04,24299
0224006,,,29.6,,gmina dolnośląskie-północny-24-06,23827
0202003,26.3,3.54,,1.0,gmina dolnośląskie-wschodni-02-03,23722
0201004,,,,6.0,gmina dolnośląskie-południowy-01-04,22987
1605005,20.4,,,,gmina opolskie-miejski-05-05,22663
1602006,,14.0,41.0,,gmina opolskie-wschodni-02-06,22172
1610007,28.0,,,,gmina opolskie-centralny-10-07,22040
3209005,52.0,,,,gmina zachodniopomorskie-zachodni-09-05,21745
0227002,76.5,,,,gmina dolnośląskie-zachodni-27-02,21688
1604004,57.5,12.0,,,gmina opolskie-centralny-04-04,21130
0207003,11.0,,,,gmina dolnośląskie-południowy-07-03,20885
0220004,,6.67,,3.8,gmina dolnośląskie-wschodni-20-04,20841
0221007,28.0,2.7,,3.62,gmina dolnośląskie-zachodni-21-07,20346
0212001,,13.0,,,gmina dolnośląskie-północny-12-01,20275
3212005,,,62.7,,gmina zachodniopomorskie-północny-12-05,19813
0208004,16.0,7.51,6.0,,gmina dolnośląskie-wschodni-08-04,19742
0216002,13.0,4.0,,,gmina dolnośląskie-centralny-16-02,18700
1608004,22.0,11.33,,8.0,gmina opolskie-wschodni-08-04,18379
0224005,,6.0,,3.0,gmina dolnośląskie-północny-24-05,18221
1608001,92.4,,13.92,,gmina opolskie-wschodni-08-01,18191
0217005,,18.3,,16.0,gmina dolnośląskie-miejski-17-05,18182
0218007,0.0,12.7,,,gmina dolnośląskie-północny-18-07,18012
0201001,,16.0,,,gmina dolnośląskie-południowy-01-01,17584
0218006,,0.0,,,gmina dolnośląskie-północny-18-06,17584
0207001,1.0,,,3.8,gmina dolnośląskie-południowy-07-01,17533
1610001,,7.0,,,gmina opolskie-centralny-10-01,16314
1609002,,,19.0,47.26,gmina opolskie-zachodni-09-02,16097
0203002,1.0,,,11.0,gmina dolnośląskie-zachodni-03-02,16026
0207004,,3.0,,0.0,gmina dolnośląskie-południowy-07-04,15530
1603006,4.0,12.0,,,gmina opolskie-zachodni-03-06,15417
1607003,28.0,,30.74,45.8,gmina opolskie-południowy-07-03,14987
0214002,22.0,,,,gmina dolnośląskie-wschodni-14-02,14934
1602002,92.4,,14.18,,gmina opolskie-wschodni-02-02,14773
0222004,1.0,,,,gmina dolnośląskie-centralny-22-04,14041
1606007,92.4,10.37,,,gmina opolskie-północny-06-07,13991
1612001,,32.21,,,gmina opolskie-północny-12-01,13865
0229006,76.5,,,,gmina dolnośląskie-miejski-29-06,13827
0205002,,,20.3,10.0,gmina dolnośląskie-miejski-05-02,13736
0206001,,0.0,0.0,,gmina dolnośląskie-północny-06-01,13564
1611004,33.2,35.6,,,gmina opolskie-miejski-11-04,13416
1602007,21.0,,,,gmina opolskie-wschodni-02-07,13236
1606002,,,,25.0,gmina opolskie-północny-06-02,13200
0206007,57.2,,,,gmina dolnośląskie-północny-06-07,13008
1603007,17.0,,32.4,,gmina opolskie-zachodni-03-07,12988
1609004,35.0,26.51,29.0,,gmina opolskie-zachodni-09-04,12632
0217004,,,13.0,11.0,gmina dolnośląskie-miejski-17-04,12512
0214003,,,,5.0,gmina dolnośląskie-wschodni-14-03,12332
0205006,,,,19.5,gmina dolnośląskie-miejski-05-06,12249
3221006,,52.0,,,gmina zachodniopomorskie-zachodni-21-06,12205
0212005,,13.11,,,gmina dolnośląskie-północny-12-05,12004
0221002,0.0,0.0,0.0,,gmina dolnośląskie-zachodni-21-02,11996
0211002,16.0,5.69,,,gmina dolnośląskie-miejski-11-02,11877
0217003,,,4.2,,gmina dolnośląskie-miejski-17-03,11742
0223006,77.5,,,0.0,gmina dolnośląskie-miejski-23-06,11541
0223003,1.0,2.31,1.77,3.5,gmina dolnośląskie-miejski-23-03,11463
0223002,,,,3.1,gmina dolnośląskie-miejski-23-02,11213
1612002,9.0,,14.0,10.2,gmina opolskie-północny-12-02,11089
1603002,23.0,24.0,23.0,,gmina opolskie-zachodni-03-02,11056
0214001,1.0,,,,gmina dolnośląskie-wschodni-14-01,10946
0210002,,,,3.1,gmina dolnośląskie-centralny-10-02,10895
