hour_bucket,system_group,nodes_failed,cumulative
0,admin,5,5
0,energy,5,5
0,finance,4,4
0,food,5,5
0,health,7,7
0,ict,6,6
0,rescue,5,5
0,telecom,6,6
0,transport,8,8
0,water,9,9
1,admin,5,10
1,energy,17,22
1,finance,7,11
1,food,3,8
1,health,2,9
1,ict,4,10
1,rescue,4,9
1,telecom,6,12
1,transport,4,12
1,water,2,11
2,admin,2,12
2,energy,2,24
2,finance,1,12
2,food,1,9
2,health,7,16
2,telecom,1,13
2,transport,4,16
2,water,1,12
3,chemical,1,1
3,energy,1,25
3,food,1,10
3,health,10,26
3,ict,1,11
3,rescue,2,11
3,telecom,1,14
3,water,9,21
4,admin,4,16
4,energy,2,27
4,food,1,11
4,health,2,28
4,telecom,2,16
4,transport,2,18
4,water,2,23
5,chemical,1,2
5,energy,2,29
5,health,3,31
5,telecom,1,17
5,transport,3,21
5,water,4,27
6,admin,1,17
6,energy,1,30
6,health,3,34
6,rescue,1,12
6,telecom,2,19
6,transport,1,22
6,water,2,29
7,chemical,2,4
7,energy,1,31
7,finance,2,14
7,health,5,39
7,transport,2,24
7,water,3,32
8,admin,2,19
8,finance,4,18
8,food,4,15
8,health,1,40
8,ict,4,15
8,rescue,3,15
8,telecom,3,22
8,water,3,35
9,admin,3,22
9,chemical,1,5
9,energy,5,36
9,finance,2,20
9,food,2,17
9,health,1,41
9,rescue,2,17
9,telecom,4,26
9,transport,3,27
10,admin,1,23
10,energy,2,38
10,food,1,18
10,health,7,48
10,ict,1,16
10,telecom,3,29
10,transport,3,30
10,water,5,40
11,admin,2,25
11,energy,1,39
11,finance,5,25
11,health,3,51
11,ict,1,17
11,telecom,1,30
11,transport,2,32
11,water,6,46
12,chemical,2,7
12,health,5,56
12,ict,4,21
12,rescue,5,22
12,telecom,2,32
12,transport,1,33
13,admin,3,28
13,energy,1,40
13,finance,4,29
13,health,3,59
13,ict,4,25
13,telecom,4,36
13,transport,3,36
14,admin,2,30
14,chemical,1,8
14,finance,3,32
14,food,1,19
14,health,1,60
14,telecom,3,39
14,transport,1,37
15,ict,1,26
15,rescue,1,23
15,telecom,1,40
15,transport,1,38
15,water,1,47
16,admin,2,32
16,energy,10,50
16,food,5,24
16,health,1,61
16,transport,2,40
16,water,1,48
17,energy,2,52
17,food,2,26
17,telecom,1,41
17,water,2,50
18,food,1,27
18,health,4,65
18,ict,1,27
18,telecom,2,43
18,transport,1,41
18,water,4,54
19,admin,1,33
19,energy,1,53
19,food,3,30
19,health,4,69
19,telecom,2,45
19,water,2,56
20,admin,1,34
20,energy,4,57
20,food,1,31
20,health,2,71
20,ict,1,28
20,telecom,3,48
20,transport,1,42
20,water,1,57
21,chemical,1,9
21,energy,1,58
21,food,2,33
21,health,1,72
21,rescue,2,25
21,telecom,2,50
21,transport,1,43
22,admin,3,37
22,energy,5,63
22,health,1,73
22,telecom,2,52
22,transport,1,44
23,energy,2,65
23,food,1,34
23,telecom,2,54
23,water,1,58
24,admin,1,38
24,energy,2,67
24,food,1,35
24,health,1,74
24,transport,3,47
24,water,2,60
25,admin,1,39
25,energy,3,70
25,food,1,36
25,ict,1,29
25,telecom,1,55
25,water,2,62
26,energy,1,71
26,health,4,78
26,transport,1,48
26,water,4,66
27,admin,1,40
27,chemical,2,11
27,food,1,37
27,rescue,1,26
27,telecom,2,57
28,energy,3,74
28,food,3,40
28,health,2,80
28,telecom,1,58
28,transport,3,51
28,water,2,68
29,admin,1,41
29,finance,2,34
29,food,1,41
29,health,4,84
29,ict,2,31
29,rescue,4,30
29,telecom,4,62
29,water,1,69
30,admin,3,44
30,energy,2,76
30,finance,1,35
30,health,1,85
30,ict,4,35
30,telecom,5,67
30,water,1,70
31,admin,2,46
31,energy,1,77
31,food,1,42
31,health,1,86
31,ict,2,37
31,telecom,1,68
31,transport,1,52
31,water,1,71
32,energy,1,78
32,finance,2,37
32,health,1,87
32,telecom,1,69
32,transport,1,53
32,water,5,76
33,energy,2,80
33,finance,1,38
33,food,1,43
33,health,1,88
33,telecom,2,71
34,chemical,1,12
35,energy,2,82
35,food,2,45
35,health,1,89
35,ict,1,38
36,admin,1,47
36,transport,1,54
37,energy,2,84
37,ict,1,39
38,chemical,2,14
38,health,1,90
38,ict,1,40
38,telecom,1,72
38,water,1,77
39,energy,1,85
39,water,1,78
40,chemical,1,15
40,energy,5,90
40,transport,1,55
40,water,2,80
41,chemical,1,16
41,energy,2,92
41,health,1,91
41,telecom,1,73
42,admin,1,48
42,food,1,46
42,health,3,94
42,rescue,1,31
42,telecom,1,74
42,water,1,81
43,water,1,82
44,admin,1,49
44,energy,1,93
44,food,2,48
45,energy,1,94
45,telecom,1,75
45,transport,1,56
45,water,1,83
