node_id,node_name,system_code,system_group,node_type,voivodeship_code,powiat_code,gmina_code,criticality_class,population_served,fail_hour,wave,cause_node_id,cause_dependency,gmina_name,cause_node_name
IK-01-00026,stacja NN 400/220 kV dolnośląskie-miejski-23-07-00026,IK01,energy,stacja NN 400/220 kV,02,0223,0223007,K1,786829,0.0,0,,seed,gmina dolnośląskie-miejski-23-07,
IK-01-00099,GPZ 110/SN dolnośląskie-wschodni-02-05-00099,IK01,energy,GPZ 110/SN,02,0202,0202005,K3,94136,0.0,1,IK-01-00026,electricity,gmina dolnośląskie-wschodni-02-05,stacja NN 400/220 kV dolnośląskie-miejski-23-07-00026
IK-01-00156,GPZ 110/SN dolnośląskie-zachodni-15-05-00156,IK01,energy,GPZ 110/SN,02,0215,0215005,K2,39271,0.0,1,IK-01-00026,electricity,gmina dolnośląskie-zachodni-15-05,stacja NN 400/220 kV dolnośląskie-miejski-23-07-00026
IK-01-00192,GPZ 110/SN dolnośląskie-wschodni-26-06-00192,IK01,energy,GPZ 110/SN,02,0226,0226006,K2,32807,0.0,1,IK-01-00026,electricity,gmina dolnośląskie-wschodni-26-06,stacja NN 400/220 kV dolnośląskie-miejski-23-07-00026
IK-01-00202,GPZ 110/SN dolnośląskie-zachodni-27-02-00202,IK01,energy,GPZ 110/SN,02,0227,0227002,K2,81890,0.0,1,IK-01-00026,electricity,gmina dolnośląskie-zachodni-27-02,stacja NN 400/220 kV dolnośląskie-miejski-23-07-00026
IK-01-00217,GPZ 110/SN dolnośląskie-wschodni-26-05-00217,IK01,energy,GPZ 110/SN,02,0226,0226005,K2,50263,0.0,1,IK-01-00026,electricity,gmina dolnośląskie-wschodni-26-05,stacja NN 400/220 kV dolnośląskie-miejski-23-07-00026
IK-01-00225,GPZ 110/SN dolnośląskie-południowy-07-01-00225,IK01,energy,GPZ 110/SN,02,0207,0207001,K1,62303,0.0,1,IK-01-00026,electricity,gmina dolnośląskie-południowy-07-01,stacja NN 400/220 kV dolnośląskie-miejski-23-07-00026
IK-01-00230,GPZ 110/SN dolnośląskie-wschodni-02-06-00230,IK01,energy,GPZ 110/SN,02,0202,0202006,K1,63563,0.0,1,IK-01-00026,electricity,gmina dolnośląskie-wschodni-02-06,stacja NN 400/220 kV dolnośląskie-miejski-23-07-00026
IK-01-00235,GPZ 110/SN dolnośląskie-miejski-29-06-00235,IK01,energy,GPZ 110/SN,02,0229,0229006,K1,118111,0.0,1,IK-01-00026,electricity,gmina dolnośląskie-miejski-29-06,stacja NN 400/220 kV dolnośląskie-miejski-23-07-00026
IK-01-00360,magazyn/terminal paliw dolnośląskie-południowy-07-02-00360,IK01,energy,magazyn/terminal paliw,02,0207,0207002,K2,1087642,0.0,2,IK-01-00192,electricity,gmina dolnośląskie-południowy-07-02,GPZ 110/SN dolnośląskie-wschodni-26-06-00192
IK-08-01703,most/przeprawa krytyczna dolnośląskie-wschodni-20-01-01703,IK08,transport,most/przeprawa krytyczna,02,0220,0220001,K2,23073,0.0,2,IK-01-00202,electricity,gmina dolnośląskie-wschodni-20-01,GPZ 110/SN dolnośląskie-zachodni-27-02-00202
IK-02-00455,węzeł szkieletowy telekom dolnośląskie-miejski-05-01-00455,IK02,telecom,węzeł szkieletowy telekom,02,0205,0205001,K1,240854,0.0,2,IK-01-00217,electricity,gmina dolnośląskie-miejski-05-01,GPZ 110/SN dolnośląskie-wschodni-26-05-00217
IK-02-00476,węzeł szkieletowy telekom dolnośląskie-centralny-04-06-00476,IK02,telecom,węzeł szkieletowy telekom,02,0204,0204006,K2,1252150,0.0,2,IK-01-00217,electricity,gmina dolnośląskie-centralny-04-06,GPZ 110/SN dolnośląskie-wschodni-26-05-00217
