src_sys,dst_sys,dependency_type,edges
IK01,IK01,electricity,424
IK02,IK06,telecom,414
IK01,IK06,electricity,373
IK03,IK02,ict,365
IK01,IK02,electricity,339
IK02,IK07,telecom,334
IK01,IK07,electricity,329
IK08,IK07,transport,318
IK01,IK08,electricity,296
IK06,IK07,water,272
IK01,IK03,electricity,259
IK02,IK08,telecom,257
IK02,IK03,telecom,235
IK08,IK05,transport,180
IK01,IK09,electricity,177
IK01,IK10,electricity,177
IK03,IK10,ict,173
IK06,IK05,water,166
IK01,IK05,electricity,163
IK02,IK09,telecom,157
IK02,IK10,telecom,157
IK01,IK09,fuel,150
IK01,IK04,electricity,148
IK02,IK04,telecom,138
IK03,IK04,ict,132
IK08,IK01,transport,120
IK01,IK11,electricity,86
IK01,IK01,generation,80
IK06,IK11,water,73
IK01,IK01,fuel,60
