edge_id,source_node_id,target_node_id,source_system,target_system,dependency_type,impact_share,lag_hours,redundancy_level,cross_voivodeship,contract_sla_hours,verified_in_exercise
E-000001,IK-01-00060,IK-02-00421,IK01,IK02,electricity,0.987,0.0,none,0,8.5,0
E-000002,IK-03-00768,IK-02-00421,IK03,IK02,ict,0.44,0.63,none,0,8.8,1
E-000003,IK-01-00060,IK-02-00422,IK01,IK02,electricity,0.49,0.0,full,0,11.9,1
E-000004,IK-01-00167,IK-02-00422,IK01,IK02,electricity,0.49,0.0,full,0,9.8,0
E-000005,IK-03-00772,IK-02-00422,IK03,IK02,ict,0.243,1.03,partial,0,9.0,0
E-000006,IK-03-00768,IK-02-00422,IK03,IK02,ict,0.243,0.73,partial,0,10.1,1
E-000007,IK-01-00127,IK-02-00423,IK01,IK02,electricity,0.474,0.0,partial,0,10.4,1
E-000008,IK-01-00164,IK-02-00423,IK01,IK02,electricity,0.474,0.0,partial,0,13.2,0
E-000009,IK-03-00751,IK-02-00423,IK03,IK02,ict,0.396,0.54,none,0,17.6,0
E-000010,IK-01-00162,IK-02-00424,IK01,IK02,electricity,0.997,0.0,none,0,2.6,1
E-000011,IK-03-00800,IK-02-00424,IK03,IK02,ict,0.234,0.86,full,0,14.2,1
E-000012,IK-03-00759,IK-02-00424,IK03,IK02,ict,0.234,1.06,full,0,7.3,1
E-000013,IK-01-00173,IK-02-00425,IK01,IK02,electricity,0.432,0.0,full,0,6.9,0
E-000014,IK-01-00172,IK-02-00425,IK01,IK02,electricity,0.432,0.0,full,0,2.4,0
E-000015,IK-03-00691,IK-02-00425,IK03,IK02,ict,0.501,0.51,none,0,1.0,0
E-000016,IK-01-00109,IK-02-00426,IK01,IK02,electricity,0.956,0.0,none,0,7.7,1
E-000017,IK-03-00725,IK-02-00426,IK03,IK02,ict,0.476,1.02,none,0,9.3,1
E-000018,IK-01-00199,IK-02-00427,IK01,IK02,electricity,0.9,0.0,none,0,8.9,0
E-000019,IK-03-00698,IK-02-00427,IK03,IK02,ict,0.407,0.54,none,0,8.1,0
E-000020,IK-01-00228,IK-02-00428,IK01,IK02,electricity,0.517,0.0,partial,0,5.3,1
E-000021,IK-01-00161,IK-02-00428,IK01,IK02,electricity,0.517,0.0,partial,0,8.0,0
E-000022,IK-03-00733,IK-02-00428,IK03,IK02,ict,0.48,1.01,none,0,20.8,0
