node_id,node_name,system_code,system_group,node_type,gmina_code,powiat_code,voivodeship_code,lat,lon,elevation_m,operator_name,ownership,criticality_class,criticality_score,population_served,backup_type,autonomy_hours,fuel_reserve_hours,in_flood_zone,restore_hours,on_ci_register,spo10_agreement,last_exercise_date,in_degree,out_degree,power_suppliers,single_source_power,no_backup,fragility_score
IK-01-00001,stacja NN 400/220 kV mazowieckie-miejski-05-03-00001,IK01,energy,stacja NN 400/220 kV,1405003,1405,14,52.59564,21.21927,105.8,Paliwa Krajowe S.A. (fikc.),publiczna,K1,99.0,661909,dual_feed,0.0,0.0,0,26.5,1,1,2024-10-24,2,14,2,0,0,54.6
IK-01-00002,stacja NN 400/220 kV śląskie-miejski-23-05-00002,IK01,energy,stacja NN 400/220 kV,2423005,2423,24,50.63858,19.75243,155.3,OSD Południe (fikc.),prywatna,K1,99.0,741603,dual_feed,0.0,0.0,0,24.6,1,1,2023-09-18,2,10,2,0,0,54.6
IK-01-00003,stacja NN 400/220 kV małopolskie-północny-12-06-00003,IK01,energy,stacja NN 400/220 kV,1212006,1212,12,50.91627,19.0961,208.6,OSD Południe (fikc.),prywatna,K1,99.0,491556,dual_feed,0.0,0.0,0,17.9,1,1,2024-10-16,2,0,2,0,0,54.6
IK-01-00004,stacja NN 400/220 kV opolskie-północny-06-03-00004,IK01,energy,stacja NN 400/220 kV,1606003,1606,16,50.57654,18.18428,207.4,Paliwa Krajowe S.A. (fikc.),prywatna,K1,87.6,953433,dual_feed,0.0,0.0,0,22.2,0,1,2023-11-13,2,8,2,0,0,50.03999999999999
IK-01-00005,stacja NN 400/220 kV podkarpackie-zachodni-21-06-00005,IK01,energy,stacja NN 400/220 kV,1821006,1821,18,49.68941,20.80201,253.0,Operator Przesyłowy S.A. (fikc.),prywatna,K1,82.0,519561,dual_feed,0.0,0.0,0,15.8,1,1,2025-09-11,2,5,2,0,0,47.8
IK-01-00006,stacja NN 400/220 kV dolnośląskie-miejski-05-07-00006,IK01,energy,stacja NN 400/220 kV,0205007,0205,02,51.11229,16.31553,138.1,Gazoprzesył S.A. (fikc.),publiczna,K1,99.0,805257,dual_feed,0.0,0.0,0,28.3,1,1,2023-03-23,2,12,2,0,0,54.6
IK-01-00007,stacja NN 400/220 kV kujawsko-pomorskie-miejski-11-01-00007,IK01,energy,stacja NN 400/220 kV,0411001,0411,04,53.34748,18.40506,126.0,OSD Zachód (fikc.),prywatna,K1,97.9,1877945,dual_feed,0.0,0.0,0,50.8,1,1,2026-06-05,2,4,2,0,0,54.16
IK-01-00008,stacja NN 400/220 kV łódzkie-centralny-10-01-00008,IK01,energy,stacja NN 400/220 kV,1010001,1010,10,52.00198,20.10284,178.2,OSD Zachód (fikc.),publiczna,K1,91.5,1331382,dual_feed,0.0,0.0,0,32.5,1,1,2025-08-27,2,7,2,0,0,51.6
IK-01-00009,stacja NN 400/220 kV opolskie-północny-06-07-00009,IK01,energy,stacja NN 400/220 kV,1606007,1606,16,50.79867,18.30393,202.5,OSD Zachód (fikc.),prywatna,K1,99.0,809821,dual_feed,0.0,0.0,1,23.6,1,1,2023-07-20,2,10,2,0,0,54.6
IK-01-00010,stacja NN 400/220 kV świętokrzyskie-miejski-11-03-00010,IK01,energy,stacja NN 400/220 kV,2611003,2611,26,50.75739,19.94137,186.3,OSD Zachód (fikc.),prywatna,K1,99.0,1070008,dual_feed,0.0,0.0,0,26.1,0,1,2024-07-15,2,9,2,0,0,54.6
