node_id,node_name,system_code,system_group,node_type,voivodeship_code,gmina_code,criticality_class,cascade_nodes,cascade_max_wave,cascade_systems,cascade_population,cascade_gminas,cascade_k1_nodes,first_secondary_hour,cascade_index,cascade_tier,backup_type,autonomy_hours,single_source_power,on_ci_register,spo10_agreement,operator_name,in_flood_zone,fragility_score,spof_reason
IK-01-00181,GPZ 110/SN pomorskie-zachodni-09-02-00181,IK01,energy,GPZ 110/SN,22,2209002,K2,114,9,11,642162,45,30,1.1,90.63,krytyczny,dual_feed,0.0,0,1,0,OSD Południe (fikc.),0,41.96,skutki w 11 systemach; 642 162 mieszkańców bez usług
IK-01-00332,magazyn/terminal paliw dolnośląskie-centralny-10-06-00332,IK01,energy,magazyn/terminal paliw,02,0210006,K2,130,8,11,522795,43,41,46.1,90.41,krytyczny,genset,1.6,0,1,0,Gazoprzesył S.A. (fikc.),1,44.23,skutki w 11 systemach; 522 795 mieszkańców bez usług; w strefie zalewowej
IK-01-00193,GPZ 110/SN dolnośląskie-zachodni-21-06-00193,IK01,energy,GPZ 110/SN,02,0221006,K2,130,8,11,522795,43,41,0.0,90.41,krytyczny,dual_feed,0.0,0,1,1,Paliwa Krajowe S.A. (fikc.),1,46.72,skutki w 11 systemach; 522 795 mieszkańców bez usług; w strefie zalewowej
IK-01-00013,stacja NN 400/220 kV dolnośląskie-zachodni-15-06-00013,IK01,energy,stacja NN 400/220 kV,02,0215006,K1,130,6,11,522795,43,40,0.0,90.08,krytyczny,dual_feed,0.0,0,1,1,Paliwa Krajowe S.A. (fikc.),1,52.56,skutki w 11 systemach; 522 795 mieszkańców bez usług; w strefie zalewowej
IK-01-00331,magazyn/terminal paliw dolnośląskie-południowy-25-06-00331,IK01,energy,magazyn/terminal paliw,02,0225006,K2,136,7,11,432434,38,45,32.5,87.59,krytyczny,genset,1.9,0,1,1,OSD Zachód (fikc.),0,40.12,skutki w 11 systemach; 432 434 mieszkańców bez usług
IK-01-00198,GPZ 110/SN dolnośląskie-zachodni-09-04-00198,IK01,energy,GPZ 110/SN,02,0209004,K3,136,8,11,432434,38,45,0.0,87.59,krytyczny,dual_feed,0.0,0,0,0,Paliwa Krajowe S.A. (fikc.),1,33.56,skutki w 11 systemach; 432 434 mieszkańców bez usług; poza rejestrem IK; w strefie zalewowej
IK-01-00006,stacja NN 400/220 kV dolnośląskie-miejski-05-07-00006,IK01,energy,stacja NN 400/220 kV,02,0205007,K1,136,5,11,432434,38,44,0.0,87.26,krytyczny,dual_feed,0.0,0,1,1,Gazoprzesył S.A. (fikc.),0,54.6,skutki w 11 systemach; 432 434 mieszkańców bez usług
IK-01-00026,stacja NN 400/220 kV dolnośląskie-miejski-23-07-00026,IK01,energy,stacja NN 400/220 kV,02,0223007,K1,104,6,11,538453,34,29,0.0,82.18,krytyczny,dual_feed,0.0,0,1,1,Gazoprzesył S.A. (fikc.),1,51.2,skutki w 11 systemach; 538 453 mieszkańców bez usług; w strefie zalewowej
IK-01-00376,stacja redukcyjna gazu pomorskie-zachodni-09-05-00376,IK01,energy,stacja redukcyjna gazu,22,2209005,K2,101,8,11,542568,38,27,42.1,81.16,krytyczny,genset,1.6,0,0,1,Paliwa Krajowe S.A. (fikc.),0,45.11,skutki w 11 systemach; 542 568 mieszkańców bez usług; poza rejestrem IK
IK-01-00173,GPZ 110/SN zachodniopomorskie-wschodni-02-02-00173,IK01,energy,GPZ 110/SN,32,3202002,K2,75,8,11,507922,32,23,1.7,72.61,krytyczny,dual_feed,0.0,0,1,0,Operator Przesyłowy S.A. (fikc.),0,43.56,skutki w 11 systemach; 507 922 mieszkańców bez usług
