node_id,node_name,system_code,voivodeship_code,criticality_class,operator_name,protection_plan_status,responsiveness_score,population_served
IK-09-01911,baza lotniczego pogotowia opolskie-centralny-04-03-01911,IK09,16,K2,Komenda Wojewódzka PSP (fikc.),zatwierdzony,41.1,3200000
IK-09-01901,centrum powiadamiania ratunkowego pomorskie-południowy-01-06-01901,IK09,22,K1,Komenda Wojewódzka PSP (fikc.),zatwierdzony,49.1,3200000
IK-03-00683,centrum przetwarzania danych warmińsko-mazurskie-południowy-01-03-00683,IK03,28,K1,Centrum Informatyki Państwowej (fikc.),brak,66.9,3200000
IK-03-00715,centrum przetwarzania danych pomorskie-zachodni-09-05-00715,IK03,22,K2,Chmura Krajowa Sp. z o.o. (fikc.),,,3200000
IK-03-00693,centrum przetwarzania danych dolnośląskie-północny-30-01-00693,IK03,02,K1,Centrum Informatyki Państwowej (fikc.),,,3192501
IK-03-00720,centrum przetwarzania danych podkarpackie-centralny-16-06-00720,IK03,18,K1,Centrum Informatyki Państwowej (fikc.),zatwierdzony,39.6,3132177
IK-04-00841,centrum rozliczeniowe podlaskie-centralny-10-03-00841,IK04,20,K1,Bank Regionalny S.A. (fikc.),,,2591228
IK-03-00702,centrum przetwarzania danych lubuskie-wschodni-02-05-00702,IK03,08,K2,Chmura Krajowa Sp. z o.o. (fikc.),brak,69.5,2387752
IK-01-00251,elektrownia systemowa kujawsko-pomorskie-zachodni-15-03-00251,IK01,04,K2,Paliwa Krajowe S.A. (fikc.),,,2305869
IK-04-00835,centrum rozliczeniowe dolnośląskie-miejski-29-02-00835,IK04,02,K2,Bank Krajowy S.A. (fikc.),,,2261246
IK-01-00007,stacja NN 400/220 kV kujawsko-pomorskie-miejski-11-01-00007,IK01,04,K1,OSD Zachód (fikc.),brak,60.4,1877945
IK-04-00843,centrum rozliczeniowe dolnośląskie-wschodni-20-02-00843,IK04,02,K2,Izba Rozliczeniowa (fikc.),,,1841060
IK-02-00472,węzeł szkieletowy telekom dolnośląskie-miejski-17-02-00472,IK02,02,K2,Telko Gamma S.A. (fikc.),zatwierdzony,60.5,1833172
IK-01-00035,stacja NN 400/220 kV opolskie-wschodni-08-06-00035,IK01,16,K1,Operator Przesyłowy S.A. (fikc.),brak,36.3,1705209
