node_id,node_name,node_type,system_code,voivodeship_code,operator_name,current_autonomy_h,nodes_saved,population_saved,spo10_agreement
IK-02-00424,węzeł szkieletowy telekom dolnośląskie-wschodni-02-04-00424,węzeł szkieletowy telekom,IK02,02,Telko Gamma S.A. (fikc.),10.2,5,0,1
IK-02-00460,węzeł szkieletowy telekom opolskie-zachodni-09-06-00460,węzeł szkieletowy telekom,IK02,16,Telko Beta S.A. (fikc.),8.0,5,0,1
IK-02-00449,węzeł szkieletowy telekom opolskie-wschodni-08-05-00449,węzeł szkieletowy telekom,IK02,16,Telko Gamma S.A. (fikc.),4.8,4,0,1
IK-02-00431,węzeł szkieletowy telekom opolskie-północny-12-06-00431,węzeł szkieletowy telekom,IK02,16,Telko Alfa S.A. (fikc.),7.6,4,0,1
IK-02-00446,węzeł szkieletowy telekom opolskie-wschodni-08-05-00446,węzeł szkieletowy telekom,IK02,16,Telko Gamma S.A. (fikc.),7.7,4,0,1
IK-02-00476,węzeł szkieletowy telekom dolnośląskie-centralny-04-06-00476,węzeł szkieletowy telekom,IK02,02,Telko Beta S.A. (fikc.),0.0,3,0,0
IK-02-00469,węzeł szkieletowy telekom dolnośląskie-zachodni-09-02-00469,węzeł szkieletowy telekom,IK02,02,Telko Gamma S.A. (fikc.),6.4,3,0,0
IK-02-00479,węzeł szkieletowy telekom dolnośląskie-centralny-04-03-00479,węzeł szkieletowy telekom,IK02,02,Telko Gamma S.A. (fikc.),10.0,2,0,1
IK-09-01911,baza lotniczego pogotowia opolskie-centralny-04-03-01911,baza lotniczego pogotowia,IK09,16,Komenda Wojewódzka PSP (fikc.),20.1,1,0,1
IK-09-01899,centrum powiadamiania ratunkowego dolnośląskie-północny-12-05-01899,centrum powiadamiania ratunkowego,IK09,02,Urząd Wojewódzki (fikc.),0.0,1,0,0
IK-10-01980,centrum zarządzania kryzysowego dolnośląskie-wschodni-20-04-01980,centrum zarządzania kryzysowego,IK10,02,Urząd Wojewódzki (fikc.),21.0,1,0,1
IK-09-01922,baza lotniczego pogotowia opolskie-centralny-10-01-01922,baza lotniczego pogotowia,IK09,16,Komenda Wojewódzka PSP (fikc.),0.0,1,0,1
IK-09-01892,centrum powiadamiania ratunkowego dolnośląskie-południowy-19-04-01892,centrum powiadamiania ratunkowego,IK09,02,Urząd Wojewódzki (fikc.),0.0,1,0,1
IK-02-00464,węzeł szkieletowy telekom dolnośląskie-południowy-19-04-00464,węzeł szkieletowy telekom,IK02,02,Telko Beta S.A. (fikc.),10.8,1,0,1
IK-09-01897,centrum powiadamiania ratunkowego opolskie-południowy-07-02-01897,centrum powiadamiania ratunkowego,IK09,16,Urząd Wojewódzki (fikc.),55.7,1,0,1
IK-10-01981,centrum zarządzania kryzysowego dolnośląskie-zachodni-15-04-01981,centrum zarządzania kryzysowego,IK10,02,Urząd Wojewódzki (fikc.),35.0,1,0,1
IK-10-01943,centrum zarządzania kryzysowego zachodniopomorskie-północny-18-01-01943,centrum zarządzania kryzysowego,IK10,32,Starostwo Powiatowe (fikc.),24.7,1,0,1
