gmina_code,powiat_code,voivodeship_code,gmina_name,gmina_type,population,lat,lon
0201001,0201,02,gmina dolnośląskie-południowy-01-01,wiejska,17584,51.29839,16.46861
0201002,0201,02,gmina dolnośląskie-południowy-01-02,miejska,39929,51.26009,15.98912
0201003,0201,02,gmina dolnośląskie-południowy-01-03,miejsko-wiejska,8534,51.14349,16.08484
0201004,0201,02,gmina dolnośląskie-południowy-01-04,miejsko-wiejska,22987,51.44056,16.58626
0201005,0201,02,gmina dolnośląskie-południowy-01-05,wiejska,9492,51.39137,16.3303
0201006,0201,02,gmina dolnośląskie-południowy-01-06,wiejska,9188,51.07364,16.40344
0201007,0201,02,gmina dolnośląskie-południowy-01-07,wiejska,8412,51.04645,16.31828
0202001,0202,02,gmina dolnośląskie-wschodni-02-01,miejska,25605,51.61885,17.58721
0202002,0202,02,gmina dolnośląskie-wschodni-02-02,miejsko-wiejska,8160,51.41751,17.42571
0202003,0202,02,gmina dolnośląskie-wschodni-02-03,miejska,23722,51.24445,17.38861
0202004,0202,02,gmina dolnośląskie-wschodni-02-04,miejsko-wiejska,5102,51.22263,17.51444
0202005,0202,02,gmina dolnośląskie-wschodni-02-05,wiejska,10327,51.1529,17.394
0202006,0202,02,gmina dolnośląskie-wschodni-02-06,miejska,49877,51.52287,17.61222
0202007,0202,02,gmina dolnośląskie-wschodni-02-07,miejsko-wiejska,8300,51.27531,17.21141
0203001,0203,02,gmina dolnośląskie-zachodni-03-01,wiejska,10033,50.40792,16.42839
0203002,0203,02,gmina dolnośląskie-zachodni-03-02,wiejska,16026,50.34142,15.9474
0203003,0203,02,gmina dolnośląskie-zachodni-03-03,miejsko-wiejska,6648,50.38685,16.1454
0203004,0203,02,gmina dolnośląskie-zachodni-03-04,wiejska,5662,50.39149,16.08805
0203005,0203,02,gmina dolnośląskie-zachodni-03-05,wiejska,5489,50.3991,16.10742
0203006,0203,02,gmina dolnośląskie-zachodni-03-06,miejska,31299,50.39413,15.96731
0203007,0203,02,gmina dolnośląskie-zachodni-03-07,wiejska,6012,50.54552,15.963
0204001,0204,02,gmina dolnośląskie-centralny-04-01,wiejska,2181,50.90654,16.7316
0204002,0204,02,gmina dolnośląskie-centralny-04-02,miejsko-wiejska,8259,51.13329,16.95677
0204003,0204,02,gmina dolnośląskie-centralny-04-03,miejska,5129,51.20005,17.02274
0204004,0204,02,gmina dolnośląskie-centralny-04-04,wiejska,4026,51.09921,16.58302
0204005,0204,02,gmina dolnośląskie-centralny-04-05,miejsko-wiejska,4654,51.10617,16.99729
0204006,0204,02,gmina dolnośląskie-centralny-04-06,miejska,84051,51.10491,17.08803
0204007,0204,02,gmina dolnośląskie-centralny-04-07,miejska,27503,51.37656,16.70834
0205001,0205,02,gmina dolnośląskie-miejski-05-01,wiejska,8788,51.14113,17.03481
0205002,0205,02,gmina dolnośląskie-miejski-05-02,wiejska,13736,51.00168,16.61494
0205003,0205,02,gmina dolnośląskie-miejski-05-03,wiejska,6474,51.02995,16.60346
0205004,0205,02,gmina dolnośląskie-miejski-05-04,wiejska,8260,51.12983,16.43349
0205005,0205,02,gmina dolnośląskie-miejski-05-05,wiejska,9983,51.14887,16.06281
0205006,0205,02,gmina dolnośląskie-miejski-05-06,wiejska,12249,50.96596,16.15679
0205007,0205,02,gmina dolnośląskie-miejski-05-07,miejsko-wiejska,7814,51.10454,16.29906
0206001,0206,02,gmina dolnośląskie-północny-06-01,wiejska,13564,51.25969,17.25047
0206002,0206,02,gmina dolnośląskie-północny-06-02,wiejska,5638,51.42811,17.38077
0206003,0206,02,gmina dolnośląskie-północny-06-03,wiejska,4337,51.52833,17.33976
0206004,0206,02,gmina dolnośląskie-północny-06-04,wiejska,2507,51.17955,17.32545
0206005,0206,02,gmina dolnośląskie-północny-06-05,wiejska,7065,51.42073,17.32247
0206006,0206,02,gmina dolnośląskie-północny-06-06,wiejska,9319,51.55736,17.11668
0206007,0206,02,gmina dolnośląskie-północny-06-07,miejska,13008,51.29204,17.38268
0207001,0207,02,gmina dolnośląskie-południowy-07-01,miejsko-wiejska,17533,51.06902,17.04466
0207002,0207,02,gmina dolnośląskie-południowy-07-02,miejsko-wiejska,2817,51.0168,17.41401
0207003,0207,02,gmina dolnośląskie-południowy-07-03,miejska,20885,51.13011,17.46075
0207004,0207,02,gmina dolnośląskie-południowy-07-04,miejsko-wiejska,15530,51.03721,17.35614
