powiat_code,voivodeship_code,powiat_name,lat,lon
0201,02,powiat dolnośląskie-południowy-01,51.21579,16.32801
0202,02,powiat dolnośląskie-wschodni-02,51.38517,17.41731
0203,02,powiat dolnośląskie-zachodni-03,50.35861,16.1838
0204,02,powiat dolnośląskie-centralny-04,51.14858,16.72607
0205,02,powiat dolnośląskie-miejski-05,51.09362,16.43083
0206,02,powiat dolnośląskie-północny-06,51.43417,17.32779
0207,02,powiat dolnośląskie-południowy-07,51.12509,17.51998
0208,02,powiat dolnośląskie-wschodni-08,51.27765,16.42739
0209,02,powiat dolnośląskie-zachodni-09,51.24013,16.37261
0210,02,powiat dolnośląskie-centralny-10,51.43381,16.87254
0211,02,powiat dolnośląskie-miejski-11,51.02975,16.52549
0212,02,powiat dolnośląskie-północny-12,51.56457,16.81501
0213,02,powiat dolnośląskie-południowy-13,50.93724,16.70633
0214,02,powiat dolnośląskie-wschodni-14,51.30228,17.10099
0215,02,powiat dolnośląskie-zachodni-15,51.25684,17.13695
0216,02,powiat dolnośląskie-centralny-16,51.91383,16.67647
0217,02,powiat dolnośląskie-miejski-17,50.90535,16.45242
0218,02,powiat dolnośląskie-północny-18,51.33407,17.52093
0219,02,powiat dolnośląskie-południowy-19,51.0567,16.43791
0220,02,powiat dolnośląskie-wschodni-20,50.7867,17.25783
0221,02,powiat dolnośląskie-zachodni-21,51.38244,17.19873
0222,02,powiat dolnośląskie-centralny-22,50.84711,17.02769
0223,02,powiat dolnośląskie-miejski-23,51.14434,17.02028
0224,02,powiat dolnośląskie-północny-24,51.43114,17.02298
0225,02,powiat dolnośląskie-południowy-25,51.35799,16.93717
0226,02,powiat dolnośląskie-wschodni-26,51.20987,17.24721
0227,02,powiat dolnośląskie-zachodni-27,50.54628,16.72418
0228,02,powiat dolnośląskie-centralny-28,50.92126,16.54862
0229,02,powiat dolnośląskie-miejski-29,50.99545,17.72222
0230,02,powiat dolnośląskie-północny-30,50.77098,17.43255
0401,04,powiat kujawsko-pomorskie-południowy-01,52.36051,18.31581
0402,04,powiat kujawsko-pomorskie-wschodni-02,53.06185,18.82242
0403,04,powiat kujawsko-pomorskie-zachodni-03,53.27027,18.93634
0404,04,powiat kujawsko-pomorskie-centralny-04,52.86748,18.24571
0405,04,powiat kujawsko-pomorskie-miejski-05,53.32603,18.39478
0406,04,powiat kujawsko-pomorskie-północny-06,52.51524,17.87669
0407,04,powiat kujawsko-pomorskie-południowy-07,52.65061,18.77344
0408,04,powiat kujawsko-pomorskie-wschodni-08,53.05412,18.87977
0409,04,powiat kujawsko-pomorskie-zachodni-09,52.83764,18.5872
0410,04,powiat kujawsko-pomorskie-centralny-10,53.23772,18.32986
0411,04,powiat kujawsko-pomorskie-miejski-11,53.17357,18.13594
0412,04,powiat kujawsko-pomorskie-północny-12,52.86204,18.29004
0413,04,powiat kujawsko-pomorskie-południowy-13,52.54558,18.76783
0414,04,powiat kujawsko-pomorskie-wschodni-14,52.82163,18.50687
0415,04,powiat kujawsko-pomorskie-zachodni-15,53.18268,18.74559
0416,04,powiat kujawsko-pomorskie-centralny-16,53.25285,18.44583
0417,04,powiat kujawsko-pomorskie-miejski-17,52.83915,18.45615
0418,04,powiat kujawsko-pomorskie-północny-18,52.35881,17.70409
0419,04,powiat kujawsko-pomorskie-południowy-19,52.49737,17.95151
0420,04,powiat kujawsko-pomorskie-wschodni-20,53.15191,18.00199
0421,04,powiat kujawsko-pomorskie-zachodni-21,52.8563,19.21458
0422,04,powiat kujawsko-pomorskie-centralny-22,52.86462,18.90563
0423,04,powiat kujawsko-pomorskie-miejski-23,52.64523,18.38701
