gauge_id,voivodeship_code,gmina_code,powiat_code,warning_level_cm,alarm_level_cm,lat,lon
WG-02-001,02,0216003,0216,271,420,51.97007,16.68823
WG-02-002,02,0226006,0226,253,352,50.9389,17.36392
WG-02-003,02,0230005,0230,290,367,50.72971,17.40127
WG-02-004,02,0215002,0215,272,375,51.27223,17.22145
WG-02-005,02,0213006,0213,276,384,50.93664,16.90498
WG-02-006,02,0226004,0226,315,403,51.31978,16.94784
WG-02-007,02,0229005,0229,299,421,51.11457,17.39291
WG-02-008,02,0215005,0215,296,372,51.31599,17.41152
WG-02-009,02,0206005,0206,315,354,51.42073,17.32247
WG-02-010,02,0205006,0205,300,406,50.96596,16.15679
WG-02-011,02,0211001,0211,242,366,51.01595,16.56788
WG-02-012,02,0203006,0203,281,398,50.39413,15.96731
WG-02-013,02,0223006,0223,283,425,51.2247,17.31514
WG-02-014,02,0217002,0217,316,387,51.05226,16.5691
WG-02-015,02,0215007,0215,325,426,51.04978,16.9635
WG-02-016,02,0220007,0220,317,387,50.83431,17.33715
WG-02-017,02,0217002,0217,295,392,51.05226,16.5691
WG-02-018,02,0219005,0219,261,346,51.18185,16.48971
WG-02-019,02,0210007,0210,241,366,51.55398,16.87912
WG-02-020,02,0229007,0229,329,396,51.16817,17.95889
WG-02-021,02,0223006,0223,264,357,51.2247,17.31514
WG-02-022,02,0211006,0211,243,341,50.8472,16.58839
WG-02-023,02,0218003,0218,297,395,51.31013,17.4696
WG-02-024,02,0218001,0218,315,417,51.37983,17.33309
WG-16-001,16,1602004,1602,321,397,50.77138,17.98214
WG-16-002,16,1603007,1603,280,415,51.03403,17.47003
WG-16-003,16,1611005,1611,241,417,51.296,17.63338
WG-16-004,16,1602001,1602,316,368,50.67744,17.75884
WG-16-005,16,1612005,1612,310,368,50.94982,18.84933
WG-16-006,16,1604006,1604,283,364,50.80597,19.07399
WG-16-007,16,1607005,1607,286,410,50.62361,18.45139
WG-16-008,16,1601002,1601,245,395,50.38167,18.01632
WG-16-009,16,1601005,1601,255,349,50.60518,17.53407
WG-16-010,16,1608004,1608,319,347,51.07525,18.51479
WG-16-011,16,1602007,1602,264,410,50.47863,18.23326
WG-16-012,16,1610003,1610,291,357,50.83478,16.96309
WG-16-013,16,1606004,1606,280,352,50.8176,18.13652
