node_id,hazard_code,exposure_score,mitigation_level,assessment_date
IK-01-00001,Z07,43.6,częściowe,2025-11-15
IK-01-00001,Z02,42.7,częściowe,2026-02-26
IK-01-00001,Z08,40.9,brak,2025-06-10
IK-01-00001,Z16,28.0,częściowe,2026-05-18
IK-01-00001,Z04,39.1,częściowe,2024-11-02
IK-01-00002,Z07,22.2,częściowe,2025-12-14
IK-01-00002,Z02,28.1,pełne,2026-08-22
IK-01-00002,Z08,53.7,częściowe,2025-07-16
IK-01-00002,Z16,56.3,częściowe,2025-01-15
IK-01-00002,Z04,18.0,częściowe,2025-08-21
IK-01-00003,Z07,27.7,częściowe,2024-11-01
IK-01-00003,Z02,30.9,brak,2025-04-14
IK-01-00003,Z08,51.9,brak,2026-04-07
IK-01-00003,Z16,43.4,częściowe,2025-06-08
IK-01-00003,Z04,32.0,pełne,2025-11-09
IK-01-00004,Z07,55.1,brak,2026-07-02
IK-01-00004,Z02,28.6,pełne,2025-09-25
IK-01-00004,Z08,21.7,brak,2026-02-13
IK-01-00004,Z16,55.0,częściowe,2025-12-03
IK-01-00004,Z04,41.5,częściowe,2024-11-06
IK-01-00005,Z07,34.9,częściowe,2024-11-10
IK-01-00005,Z02,36.5,brak,2025-09-06
IK-01-00005,Z08,32.0,częściowe,2026-03-06
IK-01-00005,Z16,66.4,częściowe,2024-10-29
IK-01-00005,Z04,49.4,częściowe,2025-02-14
IK-01-00006,Z07,35.4,brak,2026-08-12
IK-01-00006,Z02,25.9,brak,2025-09-16
IK-01-00006,Z08,37.0,częściowe,2025-07-22
IK-01-00006,Z16,37.9,częściowe,2025-03-25
IK-01-00006,Z04,64.7,pełne,2024-12-01
IK-01-00007,Z07,29.9,częściowe,2025-01-14
IK-01-00007,Z02,62.6,częściowe,2025-06-24
IK-01-00007,Z08,67.8,brak,2026-08-21
IK-01-00007,Z16,20.5,częściowe,2025-04-03
IK-01-00007,Z04,52.4,brak,2026-07-13
IK-01-00008,Z07,30.9,częściowe,2025-09-23
IK-01-00008,Z02,64.0,brak,2025-06-11
IK-01-00008,Z08,65.2,brak,2025-06-14
IK-01-00008,Z16,18.7,częściowe,2025-12-29
IK-01-00008,Z04,47.3,częściowe,2025-03-06
IK-01-00009,Z07,31.6,częściowe,2026-02-27
IK-01-00009,Z02,86.2,częściowe,2025-01-02
IK-01-00009,Z08,68.5,częściowe,2025-07-25
IK-01-00009,Z16,40.7,pełne,2025-02-25
IK-01-00009,Z04,18.0,pełne,2024-10-10
IK-01-00010,Z07,38.8,brak,2025-07-05
IK-01-00010,Z02,46.9,brak,2026-03-27
IK-01-00010,Z08,60.3,częściowe,2026-07-24
IK-01-00010,Z16,59.3,częściowe,2025-08-08
IK-01-00010,Z04,57.9,częściowe,2025-03-26
IK-01-00011,Z07,25.0,brak,2025-04-10
IK-01-00011,Z02,56.7,częściowe,2025-09-09
IK-01-00011,Z08,49.3,brak,2025-01-03
IK-01-00011,Z16,34.5,częściowe,2025-09-05
IK-01-00011,Z04,51.4,częściowe,2025-12-29
IK-01-00012,Z07,16.5,częściowe,2026-07-30
IK-01-00012,Z02,39.0,pełne,2026-02-18
IK-01-00012,Z08,32.8,częściowe,2025-08-15
IK-01-00012,Z16,52.5,brak,2026-07-08
IK-01-00012,Z04,22.0,częściowe,2024-11-27
IK-01-00013,Z07,41.1,częściowe,2025-07-28
IK-01-00013,Z02,84.3,brak,2024-11-18
IK-01-00013,Z08,57.4,brak,2026-07-29
IK-01-00013,Z16,59.3,brak,2026-04-16
IK-01-00013,Z04,68.7,brak,2025-11-28
IK-01-00014,Z07,27.9,częściowe,2026-01-10
IK-01-00014,Z02,21.5,częściowe,2024-10-29
IK-01-00014,Z08,33.0,częściowe,2025-10-23
IK-01-00014,Z16,42.4,częściowe,2026-03-12
IK-01-00014,Z04,62.5,częściowe,2025-09-05
IK-01-00015,Z07,63.5,brak,2025-03-30
IK-01-00015,Z02,56.7,pełne,2025-10-30
IK-01-00015,Z08,45.7,częściowe,2025-05-01
IK-01-00015,Z16,53.5,częściowe,2025-04-15
IK-01-00015,Z04,60.5,pełne,2026-04-30
IK-01-00016,Z07,58.8,częściowe,2026-05-06
IK-01-00016,Z02,89.2,częściowe,2025-10-05
IK-01-00016,Z08,47.2,częściowe,2024-11-06
IK-01-00016,Z16,63.7,brak,2026-01-25
IK-01-00016,Z04,53.6,częściowe,2025-02-16
IK-01-00017,Z07,19.1,częściowe,2025-04-29
IK-01-00017,Z02,64.9,pełne,2026-08-09
IK-01-00017,Z08,53.4,brak,2026-04-16
IK-01-00017,Z16,15.2,brak,2025-08-16
IK-01-00017,Z04,21.8,pełne,2026-07-14
IK-01-00018,Z07,27.9,pełne,2025-05-10
IK-01-00018,Z02,34.6,częściowe,2025-03-18
IK-01-00018,Z08,32.8,brak,2025-02-03
IK-01-00018,Z16,43.5,częściowe,2026-04-19
IK-01-00018,Z04,42.3,częściowe,2026-07-08
IK-01-00019,Z07,54.4,częściowe,2025-10-05
IK-01-00019,Z02,46.9,częściowe,2026-03-22
IK-01-00019,Z08,47.3,pełne,2026-06-26
IK-01-00019,Z16,34.9,częściowe,2025-02-13
IK-01-00019,Z04,64.2,brak,2025-06-08
IK-01-00020,Z07,16.8,brak,2025-10-07
IK-01-00020,Z02,19.2,częściowe,2026-05-03
IK-01-00020,Z08,19.3,częściowe,2024-12-09
IK-01-00020,Z16,58.7,brak,2026-04-21
IK-01-00020,Z04,61.0,pełne,2024-10-19
IK-01-00021,Z07,37.3,częściowe,2025-10-27
IK-01-00021,Z02,23.9,częściowe,2026-03-19
IK-01-00021,Z08,35.2,brak,2024-10-31
IK-01-00021,Z16,41.1,częściowe,2025-09-24
IK-01-00021,Z04,49.0,brak,2025-12-16
IK-01-00022,Z07,24.1,pełne,2025-03-01
IK-01-00022,Z02,33.2,częściowe,2025-04-23
IK-01-00022,Z08,64.0,brak,2025-04-04
IK-01-00022,Z16,61.1,pełne,2024-11-14
IK-01-00022,Z04,58.9,brak,2024-10-31
IK-01-00023,Z07,68.5,częściowe,2026-04-06
IK-01-00023,Z02,89.6,częściowe,2024-11-23
IK-01-00023,Z08,32.0,brak,2025-08-12
IK-01-00023,Z16,53.5,brak,2024-12-18
IK-01-00023,Z04,64.3,pełne,2024-12-31
IK-01-00024,Z07,35.3,brak,2026-04-03
IK-01-00024,Z02,19.7,pełne,2026-03-14
IK-01-00024,Z08,59.6,pełne,2024-11-25
IK-01-00024,Z16,56.9,brak,2025-10-01
IK-01-00024,Z04,15.6,brak,2025-10-30
IK-01-00025,Z07,68.3,częściowe,2025-03-14
IK-01-00025,Z02,28.6,brak,2025-12-05
IK-01-00025,Z08,62.0,częściowe,2026-01-06
IK-01-00025,Z16,24.4,częściowe,2026-04-07
IK-01-00025,Z04,40.9,pełne,2026-01-26
IK-01-00026,Z07,63.7,brak,2025-10-15
IK-01-00026,Z02,78.5,częściowe,2026-07-08
IK-01-00026,Z08,40.7,częściowe,2026-04-10
IK-01-00026,Z16,39.3,brak,2026-01-13
IK-01-00026,Z04,20.3,brak,2025-02-08
IK-01-00027,Z07,23.8,częściowe,2025-03-03
IK-01-00027,Z02,73.6,pełne,2026-04-08
IK-01-00027,Z08,43.3,brak,2026-07-15
IK-01-00027,Z16,60.2,częściowe,2024-12-24
IK-01-00027,Z04,25.6,częściowe,2026-02-11
IK-01-00028,Z07,48.7,brak,2026-05-19
IK-01-00028,Z02,33.1,częściowe,2025-12-25
IK-01-00028,Z08,54.4,częściowe,2025-09-13
IK-01-00028,Z16,64.4,brak,2026-03-09
IK-01-00028,Z04,18.8,częściowe,2026-04-20
IK-01-00029,Z07,27.5,częściowe,2026-04-29
IK-01-00029,Z02,80.2,pełne,2025-08-11
IK-01-00029,Z08,31.8,częściowe,2026-01-30
IK-01-00029,Z16,68.9,częściowe,2026-06-11
IK-01-00029,Z04,62.0,brak,2024-10-29
IK-01-00030,Z07,63.6,częściowe,2025-07-15
IK-01-00030,Z02,30.7,brak,2024-10-16
IK-01-00030,Z08,52.3,brak,2025-01-24
IK-01-00030,Z16,27.8,pełne,2025-06-18
IK-01-00030,Z04,43.1,pełne,2025-05-21
IK-01-00031,Z07,42.4,częściowe,2026-03-02
IK-01-00031,Z02,36.4,brak,2024-11-27
IK-01-00031,Z08,65.5,pełne,2025-01-08
IK-01-00031,Z16,38.2,pełne,2025-02-04
IK-01-00031,Z04,57.7,częściowe,2026-06-16
IK-01-00032,Z07,42.6,częściowe,2026-06-08
IK-01-00032,Z02,18.4,brak,2025-09-15
IK-01-00032,Z08,34.7,brak,2026-04-13
IK-01-00032,Z16,20.1,pełne,2025-10-13
IK-01-00032,Z04,63.2,brak,2024-12-23
IK-01-00033,Z07,15.2,brak,2025-11-14
IK-01-00033,Z02,72.1,częściowe,2026-06-18
IK-01-00033,Z08,67.6,pełne,2025-06-12
IK-01-00033,Z16,45.5,pełne,2025-07-29
IK-01-00033,Z04,16.9,brak,2026-07-23
IK-01-00034,Z07,61.0,pełne,2025-12-20
IK-01-00034,Z02,32.8,częściowe,2026-08-18
IK-01-00034,Z08,43.3,brak,2024-12-13
IK-01-00034,Z16,61.1,częściowe,2024-12-30
IK-01-00034,Z04,40.5,brak,2025-03-07
IK-01-00035,Z07,60.9,brak,2026-05-11
IK-01-00035,Z02,67.9,częściowe,2025-01-11
IK-01-00035,Z08,19.2,pełne,2025-09-24
IK-01-00035,Z16,51.6,częściowe,2025-02-18
IK-01-00035,Z04,53.5,pełne,2025-07-25
IK-01-00036,Z07,17.1,pełne,2024-11-29
IK-01-00036,Z02,56.5,brak,2025-03-12
IK-01-00036,Z08,48.2,częściowe,2025-12-11
IK-01-00036,Z16,28.0,częściowe,2025-12-04
IK-01-00036,Z04,48.9,pełne,2026-02-07
IK-01-00037,Z07,35.3,pełne,2025-12-20
IK-01-00037,Z02,17.0,częściowe,2026-02-02
IK-01-00037,Z08,23.4,pełne,2025-09-24
IK-01-00037,Z16,37.3,częściowe,2025-07-05
IK-01-00037,Z04,16.6,brak,2024-12-12
IK-01-00038,Z07,35.1,częściowe,2025-12-28
IK-01-00038,Z02,27.6,częściowe,2025-07-02
IK-01-00038,Z08,15.5,brak,2026-05-03
IK-01-00038,Z16,49.6,pełne,2026-02-18
IK-01-00038,Z04,27.8,częściowe,2025-03-18
IK-01-00039,Z07,32.9,pełne,2025-08-20
IK-01-00039,Z02,68.2,brak,2024-12-17
IK-01-00039,Z08,46.2,pełne,2026-01-21
IK-01-00039,Z16,69.3,częściowe,2025-11-25
IK-01-00039,Z04,18.2,brak,2025-08-02
IK-01-00040,Z07,43.9,brak,2026-02-04
IK-01-00040,Z02,28.6,brak,2024-12-09
IK-01-00040,Z08,43.9,częściowe,2024-12-01
IK-01-00040,Z16,64.0,częściowe,2025-01-20
IK-01-00040,Z04,24.1,częściowe,2026-01-11
IK-01-00041,Z07,65.4,częściowe,2025-08-29
IK-01-00041,Z02,58.6,brak,2025-10-02
IK-01-00041,Z08,32.3,pełne,2025-07-07
IK-01-00041,Z16,49.8,częściowe,2026-06-12
IK-01-00041,Z04,29.5,częściowe,2025-04-17
IK-01-00042,Z07,31.2,pełne,2024-12-06
IK-01-00042,Z02,90.8,pełne,2025-02-17
IK-01-00042,Z08,22.9,częściowe,2025-12-10
IK-01-00042,Z16,28.2,brak,2026-06-14
IK-01-00042,Z04,21.8,pełne,2025-05-28
IK-01-00043,Z07,53.3,częściowe,2026-01-06
IK-01-00043,Z02,22.5,częściowe,2024-11-14
IK-01-00043,Z08,30.3,częściowe,2025-12-25
IK-01-00043,Z16,47.3,pełne,2026-01-04
IK-01-00043,Z04,50.6,pełne,2026-02-19
IK-01-00044,Z07,69.1,pełne,2024-11-03
IK-01-00044,Z02,32.6,brak,2025-02-06
IK-01-00044,Z08,28.7,częściowe,2026-04-06
IK-01-00044,Z16,48.6,brak,2025-09-20
IK-01-00044,Z04,59.9,brak,2026-02-23
IK-01-00045,Z07,40.5,częściowe,2025-03-19
IK-01-00045,Z02,82.6,częściowe,2026-08-18
IK-01-00045,Z08,69.6,częściowe,2025-05-03
IK-01-00045,Z16,45.8,częściowe,2025-03-21
IK-01-00045,Z04,21.7,brak,2025-02-19
