node_id,operator_name,contact_point_registered,protection_plan_status,protection_plan_age_days,data_sharing_agreement,responsiveness_score,last_contact_test
IK-01-00001,Paliwa Krajowe S.A. (fikc.),1,zatwierdzony,497,1,74.7,2025-07-16
IK-01-00002,OSD Południe (fikc.),1,zatwierdzony,1172,1,74.5,2025-09-12
IK-01-00003,OSD Południe (fikc.),1,brak,388,1,90.3,2026-03-23
IK-01-00005,Operator Przesyłowy S.A. (fikc.),1,zatwierdzony,592,1,70.9,2026-03-29
IK-01-00006,Gazoprzesył S.A. (fikc.),1,zatwierdzony,1181,1,100,2025-09-14
IK-01-00007,OSD Zachód (fikc.),1,brak,515,1,60.4,2025-12-07
IK-01-00008,OSD Zachód (fikc.),1,w aktualizacji,1143,1,74.7,2025-11-17
IK-01-00009,OSD Zachód (fikc.),1,w aktualizacji,1273,1,70.8,2026-03-27
IK-01-00011,Gazoprzesył S.A. (fikc.),1,zatwierdzony,711,1,50.8,2025-05-17
IK-01-00013,Paliwa Krajowe S.A. (fikc.),1,zatwierdzony,375,1,70.4,2026-01-14
IK-01-00014,Gazoprzesył S.A. (fikc.),0,brak,1116,1,88.8,2025-11-27
IK-01-00016,Operator Przesyłowy S.A. (fikc.),1,zatwierdzony,341,1,91.2,2025-12-17
IK-01-00017,OSD Południe (fikc.),1,zatwierdzony,583,1,62.4,2025-10-01
IK-01-00018,Paliwa Krajowe S.A. (fikc.),0,w aktualizacji,1280,1,49.9,2025-07-24
IK-01-00019,Gazoprzesył S.A. (fikc.),1,zatwierdzony,709,1,44.5,2026-06-12
IK-01-00020,OSD Południe (fikc.),1,w aktualizacji,279,1,50.1,2025-06-23
IK-01-00021,OSD Południe (fikc.),1,zatwierdzony,526,1,49.5,2026-05-04
IK-01-00022,Paliwa Krajowe S.A. (fikc.),1,zatwierdzony,791,1,83.3,2025-06-02
IK-01-00024,OSD Południe (fikc.),1,zatwierdzony,861,1,80.6,2026-07-09
IK-01-00025,Operator Przesyłowy S.A. (fikc.),1,zatwierdzony,573,1,78.8,2026-02-26
IK-01-00026,Gazoprzesył S.A. (fikc.),1,zatwierdzony,1019,1,65.9,2025-11-28
IK-01-00027,Operator Przesyłowy S.A. (fikc.),0,w aktualizacji,812,0,34.6,2025-06-25
IK-01-00028,Gazoprzesył S.A. (fikc.),1,w aktualizacji,1089,1,62.2,2026-07-20
IK-01-00029,OSD Zachód (fikc.),1,zatwierdzony,656,1,18.5,2025-05-20
IK-01-00030,OSD Południe (fikc.),1,brak,535,1,67.0,2026-04-12
IK-01-00031,Operator Przesyłowy S.A. (fikc.),1,zatwierdzony,1244,1,56.1,2026-06-27
IK-01-00032,Operator Przesyłowy S.A. (fikc.),0,brak,561,0,43.2,2026-03-29
IK-01-00033,OSD Zachód (fikc.),0,zatwierdzony,464,1,64.6,2026-01-09
IK-01-00034,OSD Południe (fikc.),1,brak,839,1,57.2,2025-11-04
IK-01-00035,Operator Przesyłowy S.A. (fikc.),0,brak,345,0,36.3,2025-10-15
IK-01-00036,OSD Zachód (fikc.),1,w aktualizacji,625,1,82.4,2026-01-05
